,23/06/2016,02/07/2016,Increase
363130255506566000,1050,1051,1
781513648088795000,36,36,0
839326915810387000,60,61,1
1271369070857000000,2,2,0
1462583589948480000,3,3,0
1901883250950180000,42,42,0
2455525197182570000,85,85,0
2675322745581410000,79,79,0
2866254745837940000,2,2,0
2986164779746620000,103,103,0
3083599342333170000,44,44,0
3573820837821600000,4,4,0
3650240465214080000,37,37,0
3841656042734210000,58,58,0
4146562079611250000,29,30,1
4397680857604280000,17,17,0
4998143129042640000,36,36,0
5159039809664890000,104,104,0
5273647585278580000,5,5,0
5352751653605960000,17,17,0
5757978831325600000,5,5,0
5850151503098730000,11,11,0
5951833993935150000,18,18,0
6274291487760300000,4,4,0
6664288051039410000,47,47,0
6886466573900410000,2,2,0
6900386515662570000,58,58,0
7467923558459540000,43,43,0
9692798076030300000,2,2,0
9991842382696550000,2,2,0
10061195553684700000,6,6,0
10167804317265600000,41,43,2
10527276408207800000,45,45,0
10732357679451500000,8,8,0
11004691645742600000,8,8,0
11037427111300600000,2,2,0
11406913725908500000,37,37,0
11414429136108300000,20,20,0
11511976546368700000,8,8,0
11603003307239500000,5,5,0
11672218504700500000,24,24,0
11906962803444000000,94,94,0
11910624869729000000,9,9,0
12330481805481200000,1,1,0
12654577515499000000,145,147,2
12967717823607700000,8,8,0
13866482072226200000,4,4,0
13874827904077900000,6,6,0
14257434786005800000,48,48,0
14506243461975500000,1,1,0
14534196709717000000,30,30,0
14591210584263000000,15,15,0
14714555778184400000,17,17,0
14781785575067000000,54,54,0
14861044163148500000,27,27,0
14898343249594200000,37,37,0
15389271808089900000,6,6,0
16160396590292200000,17,17,0
16457800114577200000,17,17,0
16678916924423700000,217,217,0
16759892614895600000,7,7,0
17101202194362000000,25,25,0
17662666305881900000,5,5,0
17711609864470600000,3,3,0
17797710725715600000,99,99,0
18354841911838000000,94,94,0
18420770473476600000,33,33,0
,3228,3235,7
